"ID","Response"
"ARE000000200039",0
"ARE000000200051",1
"ARE000000300079",1
"ARE000000400093",1
"ARE000000400117",0
"ARE000000500126",0
"ARE000000600142",0
"ARE000001000230",0
"ARE000001100258",0
"ARE000001100270",0
"ARE000001200271",0
"ARE000001200272",0
"ARE000001300304",1
"ARE000001400325",1
"ARE000001400339",0
"ARE000001500348",0
"ARE000001500367",0
"ARE000001600382",1
"ARE000001700407",0
"ARE000001700420",0
"ARE000001900452",1
"ARE000001900472",0
"ARE000002000502",1
"ARE000002000507",0
"ARE000002100509",0
"ARE000002500575",0
"ARE000002600602",0
"ARE000002700629",1
"ARE000002700631",0
"ARE000002800660",0
"ARE000002900676",0
"ARE000002900699",1
"ARE000003000732",0
"ARE000003100751",1
"ARE000003200773",1
"ARE000003400818",1
"ARE000003400822",0
"ARE000003500843",0
"ARE000003600876",0
"ARE000003700911",0
"ARE000003700927",0
"ARE000003700935",0
"ARE000003800941",1
"ARE000003900948",0
"ARE000003900963",0
"ARE000004201060",0
"ARE000004301065",1
"ARE000004301073",0
"ARE000004401098",0
"ARE000004501123",1
"ARE000004501140",0
"ARE000004501146",0
"ARE000004601169",0
"ARE000004701199",1
"ARE000004701200",1
"ARE000004801214",0
"ARE000004901239",0
"ARE000005101299",1
"ARE000005201324",0
"ARE000005201329",0
"ARE000005401398",0
"ARE000005401402",0
"ARE000005401403",1
"ARE000005501414",0
"ARE000005501421",0
"ARE000005601449",0
"ARE000005701468",1
"ARE000005701485",0
"ARE000005801510",0
"ARE000005801513",1
"ARE000005901528",0
"ARE000006001553",0
"ARE000006001557",0
"ARE000006101596",1
"ARE000006201602",0
"ARE000006201606",0
"ARE000006301615",1
"ARE000006401627",0
"ARE000006701717",0
"ARE000006701718",0
"ARE000006701723",1
"ARE000007001812",1
"ARE000007201850",0
"ARE000007201854",0
"ARE000007201881",1
"ARE000007301892",0
"ARE000007501921",0
"ARE000007601925",1
"ARE000007601930",1
"ARE000007701955",1
"ARE000007701976",0
"ARE000007701979",1
"ARE000007801989",0
"ARE000007901996",0
"ARE000008202040",0
"ARE000008202041",0
"ARE000008302052",0
"ARE000008402063",0
"ARE000008402085",0
"ARE000008602108",0
"ARE000008602129",0
"ARE000008802156",0
"ARE000008902171",1
"ARE000009002226",1
"ARE000009302277",0
"ARE000009302292",1
"ARE000009402305",0
"ARE000009502338",1
"ARE000009602377",0
"ARE000009702398",1
"ARE000009802403",0
"ARE000009802414",0
"ARE000009902417",0
"ARE000009902430",0
"ARE000010002453",0
"ARE000010002459",0
"ARE000010102465",0
"ARE000010202501",0
"ARE000010302514",0
"ARE000010302547",0
"ARE000010402561",0
"ARE000010402566",0
"ARE000010502595",0
"ARE000010502610",1
"ARE000010602617",0
"ARE000010802666",1
"ARE000010902708",0
"ARE000011202769",1
"ARE000011302798",0
"ARE000011302806",0
"ARE000011302820",0
"ARE000011402834",0
"ARE000011402851",0
"ARE000011502878",1
"ARE000011502880",0
"ARE000011602895",1
"ARE000011602904",1
"ARE000011602910",1
"ARE000011702939",0
"ARE000011702941",0
"ARE000011902963",0
"ARE000012002980",0
"ARE000012102993",0
"ARE000012203030",0
"ARE000012203031",1
"ARE000012303067",0
"ARE000012403084",0
"ARE000012403090",0
"ARE000012403101",0
"ARE000012503113",0
"ARE000012503124",0
"ARE000012603159",1
"ARE000012603160",1
"ARE000013003249",0
"ARE000013203296",0
"ARE000013403367",0
"ARE000013603418",0
"ARE000013603419",0
"ARE000013603424",1
"ARE000013703457",1
"ARE000013803475",0
"ARE000013903490",0
"ARE000013903505",0
"ARE000014003523",0
"ARE000014103556",0
"ARE000014403618",0
"ARE000014503631",1
"ARE000014603659",1
"ARE000014603660",1
"ARE000014703688",1
"ARE000014803722",1
"ARE000014903744",0
"ARE000015003763",0
"ARE000015003765",1
"ARE000015403862",0
"ARE000015403874",0
"ARE000015503888",1
"ARE000015603889",1
"ARE000015603896",1
"ARE000015603908",1
"ARE000015703926",0
"ARE000015803952",0
"ARE000015803973",1
"ARE000016004011",1
"ARE000016104037",1
"ARE000016104044",0
"ARE000016304108",0
"ARE000016404132",0
"ARE000016504173",1
"ARE000016604182",0
"ARE000016704216",1
"ARE000016804248",0
"ARE000016904285",1
"ARE000017004302",0
"ARE000017004305",0
"ARE000017004315",0
"ARE000017204366",0
"ARE000017304381",1
"ARE000017304398",1
"ARE000017404411",1
"ARE000017404426",1
"ARE000017504444",1
"ARE000017604462",1
"ARE000017704508",0
"ARE000017704514",0
"ARE000017804532",1
"ARE000018204641",0
"ARE000018304650",0
"ARE000018404678",0
"ARE000018404684",0
"ARE000018404695",1
"ARE000018404701",0
"ARE000018504734",1
"ARE000018704802",1
"ARE000018704806",1
"ARE000018804815",0
"ARE000018904832",0
"ARE000018904843",0
"ARE000019004881",0
"ARE000019004895",1
"ARE000019104902",1
"ARE000019104904",0
"ARE000019104910",0
"ARE000019304922",1
"ARE000019304926",0
"ARE000019304938",1
"ARE000019404962",1
"ARE000019504991",0
"ARE000019605015",0
"ARE000019705047",1
"ARE000019705054",1
"ARE000019805058",0
"ARE000019905095",0
"ARE000020005113",1
"ARE000020105136",1
"ARE000020205146",1
"ARE000020205154",1
"ARE000020305180",1
"ARE000020405203",0
"ARE000020405205",0
"ARE000020805306",0
"ARE000020905319",1
"ARE000021105368",0
"ARE000021205405",0
"ARE000021305414",0
"ARE000021305416",0
"ARE000021405447",0
"ARE000021405468",1
"ARE000021505492",0
"ARE000021605504",0
"ARE000021605527",0
"ARE000021705535",0
"ARE000021905618",1
"ARE000022205684",1
"ARE000022205704",1
"ARE000022305725",0
"ARE000022505784",0
"ARE000022605786",0
"ARE000022605809",0
"ARE000022605812",0
"ARE000022805842",0
"ARE000022905863",0
"ARE000023005895",0
"ARE000023005914",0
"ARE000023205970",0
"ARE000023405991",0
"ARE000023405993",0
"ARE000023405999",1
"ARE000023506016",0
"ARE000023706059",0
"ARE000023706065",1
"ARE000024406202",0
"ARE000024506213",1
"ARE000024506237",1
"ARE000024606258",0
"ARE000024606266",1
"ARE000024706289",1
"ARE000024806326",0
"ARE000024806331",0
"ARE000025006379",0
"ARE000025006380",1
"ARE000025006382",0
"ARE000025106390",1
"ARE000025106405",1
"ARE000025206442",1
"ARE000025206448",0
"ARE000025406483",1
"ARE000025706551",0
"ARE000025706560",1
"ARE000025906573",0
"ARE000025906589",1
"ARE000026006609",0
"ARE000026106641",0
"ARE000026206653",0
"ARE000026206673",0
"ARE000026206675",0
"ARE000026306683",1
"ARE000026306690",1
"ARE000026406747",0
"ARE000026606795",0
"ARE000026706807",1
"ARE000026706811",1
"ARE000026706813",0
"ARE000026806844",1
"ARE000026906853",0
"ARE000027006883",0
"ARE000027006885",0
"ARE000027006895",0
"ARE000027106914",0
"ARE000027206936",0
"ARE000027306962",0
"ARE000027306969",0
"ARE000027306978",0
"ARE000027406995",0
"ARE000027406997",0
"ARE000027507017",0
"ARE000027507029",0
"ARE000027507031",0
"ARE000027607045",1
"ARE000027707064",1
"ARE000027707076",0
"ARE000027807077",0
"ARE000027807108",0
"ARE000027907111",1
"ARE000028007149",1
"ARE000028107172",0
"ARE000028307218",0
"ARE000028407239",0
"ARE000028407245",0
"ARE000028507267",1
"ARE000028507268",0
"ARE000028507279",0
"ARE000028607305",1
"ARE000028607307",0
"ARE000028707320",0
"ARE000028807341",0
"ARE000028907345",0
"ARE000028907353",0
"ARE000028907357",1
"ARE000029007362",0
"ARE000029107410",0
"ARE000029207422",0
"ARE000029207440",0
"ARE000029507493",0
"ARE000029607518",1
"ARE000029707523",0
"ARE000029707551",0
"ARE000029807566",1
"ARE000029907578",1
"ARE000029907598",1
"ARE000029907600",1
"ARE000030007614",1
"ARE000030007618",1
"ARE000030007622",0
"ARE000030107642",0
"ARE000030207664",0
"ARE000030307702",1
"ARE000030307710",0
"ARE000030307720",0
"ARE000030307726",0
"ARE000030407729",0
"ARE000030407760",0
"ARE000030507789",0
"ARE000030807800",1
"ARE000030807806",1
"ARE000030807817",1
"ARE000030907847",1
"ARE000031007868",1
"ARE000031107895",0
"ARE000031207912",0
"ARE000031307949",1
"ARE000031407978",1
"ARE000031407997",1
"ARE000031508005",1
"ARE000031508018",0
"ARE000031708049",1
"ARE000031708062",1
"ARE000031808076",0
"ARE000031908104",0
"ARE000032008138",1
"ARE000032108152",0
"ARE000032208192",1
"ARE000032208194",0
"ARE000032308205",0
"ARE000032508277",1
"ARE000032608302",1
"ARE000032808324",1
"ARE000032808325",1
"ARE000032808330",1
"ARE000033208436",1
"ARE000033408442",0
"ARE000033408443",0
"ARE000033408457",0
"ARE000033508500",0
"ARE000033708519",1
"ARE000033708530",0
"ARE000033808544",0
"ARE000033908578",0
"ARE000034508733",0
"ARE000034608757",1
"ARE000034708793",0
"ARE000034808797",0
"ARE000034908831",0
"ARE000034908836",0
"ARE000035008843",0
"ARE000035108861",1
"ARE000035208870",0
"ARE000035308888",1
"ARE000035308895",0
"ARE000035508933",0
"ARE000035508942",0
"ARE000035608951",0
"ARE000035708992",1
"ARE000035809016",0
"ARE000035909033",1
"ARE000035909041",1
"ARE000035909049",0
"ARE000036009060",0
"ARE000036109084",1
"ARE000036109092",0
"ARE000036109093",1
"ARE000036209112",1
"ARE000036309147",1
"ARE000036409162",0
"ARE000036609192",1
"ARE000036709226",0
"ARE000036809254",1
"ARE000036809268",0
"ARE000036909305",1
"ARE000036909315",1
"ARE000037109359",0
"ARE000037309400",0
"ARE000037309403",1
"ARE000037309416",0
"ARE000037409436",1
"ARE000037409440",1
"ARE000037509468",1
"ARE000037609496",0
"ARE000037709529",0
"ARE000037909548",0
"ARE000037909563",0
"ARE000038009581",0
"ARE000038009587",0
"ARE000038009589",1
"ARE000038209616",1
"ARE000038209626",0
"ARE000038309642",0
"ARE000038309651",0
"ARE000038509686",1
"ARE000038509694",0
"ARE000038609736",0
"ARE000038709753",1
"ARE000039009841",0
"ARE000039109874",1
"ARE000039209896",1
"ARE000039209897",1
"ARE000039309912",0
"ARE000039509954",1
"ARE000039609967",1
"ARE000039609971",0
"ARE000039609984",0
"ARE000039709994",0
"ARE000039810023",1
"ARE000039910042",1
"ARE000040010086",1
"ARE000040010087",0
"ARE000040110098",0
"ARE000040210127",0
"ARE000040310164",0
"ARE000040310172",0
"ARE000040410184",0
"ARE000040510203",1
"ARE000040610213",1
"ARE000040710246",0
"ARE000040710262",1
"ARE000041110330",0
"ARE000041410433",1
"ARE000041610490",0
"ARE000041710497",1
"ARE000041710502",1
"ARE000041810517",0
"ARE000041810530",0
"ARE000042110585",1
"ARE000042110587",1
"ARE000042210601",1
"ARE000042210605",1
"ARE000042210617",0
